sample,run,path,events,cross_section_pb
SM,1,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_SM_NP_0_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_01/unweighted_events.lhe.gz,1000000,50.69600000
SM,2,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_SM_NP_0_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_02/unweighted_events.lhe.gz,1000000,50.69400000
SM,3,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_SM_NP_0_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_03/unweighted_events.lhe.gz,1000000,50.69600000
SM,4,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_SM_NP_0_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_04/unweighted_events.lhe.gz,1000000,50.69000000
SM,5,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_SM_NP_0_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_05/unweighted_events.lhe.gz,1000000,50.69900000
BSM,1,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_01/unweighted_events.lhe.gz,1000000,51.92200000
BSM,2,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_02/unweighted_events.lhe.gz,1000000,51.92300000
BSM,3,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_03/unweighted_events.lhe.gz,1000000,51.92300000
BSM,4,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_04/unweighted_events.lhe.gz,1000000,51.91900000
BSM,5,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_05/unweighted_events.lhe.gz,1000000,51.92600000
BSM,6,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_06/unweighted_events.lhe.gz,1000000,51.91900000
BSM,7,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_07/unweighted_events.lhe.gz,1000000,51.92400000
BSM,8,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_08/unweighted_events.lhe.gz,1000000,51.92300000
BSM,9,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_09/unweighted_events.lhe.gz,1000000,51.92700000
BSM,10,/home/hamzeh-khanpour/MG5_aMC_v3_6_6/aa_tautau_BSM_NP_2_SMEFTsim_top_alphaScheme_UFO_LHeC/Events/run_10/unweighted_events.lhe.gz,1000000,51.92000000
